ECU0: SWC0_CC, ECU0: SWC1
0, ECU0: SWC0_CC, 1
20, ECU0: SWC0_CC, 0
20, ECU0: SWC1, 1
40, ECU0: SWC1, 0
40, ECU0: SWC0_CC, 1
60, ECU0: SWC0_CC, 0
60, ECU0: SWC1, 1
80, ECU0: SWC1, 0
80, ECU0: SWC0_CC, 1
100, ECU0: SWC0_CC, 0
100, ECU0: SWC1, 1
120, ECU0: SWC1, 0
120, ECU0: SWC0_CC, 1
140, ECU0: SWC0_CC, 0
140, ECU0: SWC1, 1
160, ECU0: SWC1, 0
160, ECU0: SWC0_CC, 1
180, ECU0: SWC0_CC, 0
180, ECU0: SWC1, 1
200, ECU0: SWC1, 0
200, ECU0: SWC0_CC, 1
220, ECU0: SWC0_CC, 0
220, ECU0: SWC1, 1
240, ECU0: SWC1, 0
240, ECU0: SWC0_CC, 1
260, ECU0: SWC0_CC, 0
260, ECU0: SWC1, 1
280, ECU0: SWC1, 0
280, ECU0: SWC0_CC, 1
300, ECU0: SWC0_CC, 0
300, ECU0: SWC1, 1
320, ECU0: SWC1, 0
320, ECU0: SWC0_CC, 1
340, ECU0: SWC0_CC, 0
340, ECU0: SWC1, 1
360, ECU0: SWC1, 0
360, ECU0: SWC0_CC, 1
380, ECU0: SWC0_CC, 0
380, ECU0: SWC1, 1
400, ECU0: SWC1, 0
400, ECU0: SWC0_CC, 1
420, ECU0: SWC0_CC, 0
420, ECU0: SWC1, 1
440, ECU0: SWC1, 0
440, ECU0: SWC0_CC, 1
460, ECU0: SWC0_CC, 0
460, ECU0: SWC1, 1
480, ECU0: SWC1, 0
480, ECU0: SWC0_CC, 1
500, ECU0: SWC0_CC, 0
500, ECU0: SWC1, 1
520, ECU0: SWC1, 0
520, ECU0: SWC0_CC, 1
540, ECU0: SWC0_CC, 0
540, ECU0: SWC1, 1
560, ECU0: SWC1, 0
560, ECU0: SWC0_CC, 1
580, ECU0: SWC0_CC, 0
580, ECU0: SWC1, 1
600, ECU0: SWC1, 0
600, ECU0: SWC0_CC, 1
620, ECU0: SWC0_CC, 0
620, ECU0: SWC1, 1
640, ECU0: SWC1, 0
640, ECU0: SWC0_CC, 1
660, ECU0: SWC0_CC, 0
660, ECU0: SWC1, 1
680, ECU0: SWC1, 0
680, ECU0: SWC0_CC, 1
700, ECU0: SWC0_CC, 0
700, ECU0: SWC1, 1
720, ECU0: SWC1, 0
720, ECU0: SWC0_CC, 1
740, ECU0: SWC0_CC, 0
740, ECU0: SWC1, 1
760, ECU0: SWC1, 0
760, ECU0: SWC0_CC, 1
780, ECU0: SWC0_CC, 0
780, ECU0: SWC1, 1
800, ECU0: SWC1, 0
800, ECU0: SWC0_CC, 1
820, ECU0: SWC0_CC, 0
820, ECU0: SWC1, 1
840, ECU0: SWC1, 0
840, ECU0: SWC0_CC, 1
860, ECU0: SWC0_CC, 0
860, ECU0: SWC1, 1
880, ECU0: SWC1, 0
880, ECU0: SWC0_CC, 1
900, ECU0: SWC0_CC, 0
900, ECU0: SWC1, 1
920, ECU0: SWC1, 0
920, ECU0: SWC0_CC, 1
940, ECU0: SWC0_CC, 0
940, ECU0: SWC1, 1
960, ECU0: SWC1, 0
960, ECU0: SWC0_CC, 1
980, ECU0: SWC0_CC, 0
980, ECU0: SWC1, 1
1000, ECU0: SWC1, 0
1000, ECU0: SWC0_CC, 1
1020, ECU0: SWC0_CC, 0
1020, ECU0: SWC1, 1
1040, ECU0: SWC1, 0
1040, ECU0: SWC0_CC, 1
1060, ECU0: SWC0_CC, 0
1060, ECU0: SWC1, 1
1080, ECU0: SWC1, 0
1080, ECU0: SWC0_CC, 1
1100, ECU0: SWC0_CC, 0
1100, ECU0: SWC1, 1
1120, ECU0: SWC1, 0
1120, ECU0: SWC0_CC, 1
1140, ECU0: SWC0_CC, 0
1140, ECU0: SWC1, 1
1160, ECU0: SWC1, 0
1160, ECU0: SWC0_CC, 1
1180, ECU0: SWC0_CC, 0
1180, ECU0: SWC1, 1
1200, ECU0: SWC1, 0
1200, ECU0: SWC0_CC, 1
1220, ECU0: SWC0_CC, 0
1220, ECU0: SWC1, 1
1240, ECU0: SWC1, 0
1240, ECU0: SWC0_CC, 1
1260, ECU0: SWC0_CC, 0
1260, ECU0: SWC1, 1
1280, ECU0: SWC1, 0
1280, ECU0: SWC0_CC, 1
1300, ECU0: SWC0_CC, 0
1300, ECU0: SWC1, 1
1320, ECU0: SWC1, 0
1320, ECU0: SWC0_CC, 1
1340, ECU0: SWC0_CC, 0
1340, ECU0: SWC1, 1
1360, ECU0: SWC1, 0
1360, ECU0: SWC0_CC, 1
1380, ECU0: SWC0_CC, 0
1380, ECU0: SWC1, 1
1400, ECU0: SWC1, 0
1400, ECU0: SWC0_CC, 1
1420, ECU0: SWC0_CC, 0
1420, ECU0: SWC1, 1
1440, ECU0: SWC1, 0
1440, ECU0: SWC0_CC, 1
1460, ECU0: SWC0_CC, 0
1460, ECU0: SWC1, 1
1480, ECU0: SWC1, 0
1480, ECU0: SWC0_CC, 1
1500, ECU0: SWC0_CC, 0
1500, ECU0: SWC1, 1
1520, ECU0: SWC1, 0
1520, ECU0: SWC0_CC, 1
1540, ECU0: SWC0_CC, 0
1540, ECU0: SWC1, 1
1560, ECU0: SWC1, 0
1560, ECU0: SWC0_CC, 1
1580, ECU0: SWC0_CC, 0
1580, ECU0: SWC1, 1
1600, ECU0: SWC1, 0
1600, ECU0: SWC0_CC, 1
1620, ECU0: SWC0_CC, 0
1620, ECU0: SWC1, 1
1640, ECU0: SWC1, 0
1640, ECU0: SWC0_CC, 1
1660, ECU0: SWC0_CC, 0
1660, ECU0: SWC1, 1
1680, ECU0: SWC1, 0
1680, ECU0: SWC0_CC, 1
1700, ECU0: SWC0_CC, 0
1700, ECU0: SWC1, 1
1720, ECU0: SWC1, 0
1720, ECU0: SWC0_CC, 1
1740, ECU0: SWC0_CC, 0
1740, ECU0: SWC1, 1
1760, ECU0: SWC1, 0
1760, ECU0: SWC0_CC, 1
1780, ECU0: SWC0_CC, 0
1780, ECU0: SWC1, 1
1800, ECU0: SWC1, 0
1800, ECU0: SWC0_CC, 1
1820, ECU0: SWC0_CC, 0
1820, ECU0: SWC1, 1
1840, ECU0: SWC1, 0
1840, ECU0: SWC0_CC, 1
1860, ECU0: SWC0_CC, 0
1860, ECU0: SWC1, 1
1880, ECU0: SWC1, 0
1880, ECU0: SWC0_CC, 1
1900, ECU0: SWC0_CC, 0
1900, ECU0: SWC1, 1
1920, ECU0: SWC1, 0
1920, ECU0: SWC0_CC, 1
1940, ECU0: SWC0_CC, 0
1940, ECU0: SWC1, 1
1960, ECU0: SWC1, 0
1960, ECU0: SWC0_CC, 1
1980, ECU0: SWC0_CC, 0
1980, ECU0: SWC1, 1
2000, ECU0: SWC1, 0
2000, ECU0: SWC0_CC, 1
2020, ECU0: SWC0_CC, 0
2020, ECU0: SWC1, 1
2040, ECU0: SWC1, 0
2040, ECU0: SWC0_CC, 1
2060, ECU0: SWC0_CC, 0
